Time,Temperature,Humidity,Speed,Direction,Rain,Sunlight,PM2.5,PM10
00:00:10,31.49,60.59,0,90,0,0,6,10
00:01:13,31.49,60.61,0,90,0,0,7,10
00:02:17,31.48,60.53,0,90,0,0,8,10
00:03:18,31.48,60.54,0,90,0,0,6,10
00:04:21,31.48,60.62,0,90,0,0,8,10
00:05:23,31.49,60.61,0,90,0,0,6,10
00:06:25,31.49,60.62,0,90,0,0,7,10
00:07:27,31.48,60.61,0,90,0,0,6,10
00:08:30,31.48,60.56,0,90,0,0,7,10
00:09:33,31.49,60.57,0,90,0,0,6,10
00:10:36,31.48,60.58,0,90,0,0,6,10
00:11:39,31.48,60.55,0,90,0,0,7,10
00:12:42,31.49,60.57,0,90,0,0,7,10
00:13:45,31.48,60.56,0,90,0,0,6,10
00:15:50,31.47,60.58,0,90,0,0,7,10
00:16:53,31.47,60.58,0,90,0,0,7,10
00:17:56,31.47,60.57,0,90,0,0,6,10
00:18:59,31.48,60.57,0,90,0,0,6,10
00:20:02,31.47,60.56,0,90,0,0,8,10
00:21:04,31.47,60.56,0,90,0,0,6,10
00:22:07,31.46,60.56,0,90,0,0,8,10
00:23:09,31.46,60.57,0,90,0,0,6,10
00:24:12,31.46,60.63,0,90,0,0,7,10
00:25:14,31.46,60.67,0,90,0,0,6,10
00:26:17,31.46,60.62,0,90,0,0,7,10
00:27:22,31.46,60.57,0,90,0,0,7,10
00:28:23,31.46,60.58,0,90,0,0,6,10
00:29:25,31.45,60.61,0,90,0,0,6,10
00:30:28,31.45,60.59,0,90,0,0,7,10
00:31:30,31.45,60.61,0,90,0,0,5,10
00:32:32,31.44,60.64,0,90,0,0,7,10
00:33:37,31.44,60.61,0,90,0,0,7,10
00:34:38,31.44,60.59,0,90,0,0,7,10
00:35:40,31.45,60.57,0,90,0,0,6,10
00:36:44,31.44,60.57,0,90,0,0,6,10
00:37:46,31.44,60.57,0,90,0,0,6,10
00:38:49,31.44,60.56,0,90,0,0,6,10
00:39:52,31.44,60.53,0,90,0,0,6,10
00:40:53,31.44,60.54,0,90,0,0,6,10
00:41:56,31.44,60.54,0,90,0,0,6,10
00:42:59,31.44,60.6,0,90,0,0,7,10
00:44:02,31.44,60.57,0,90,0,0,7,10
00:45:04,31.44,60.54,0,90,0,0,8,10
00:46:08,31.44,60.59,0,90,0,0,6,10
00:47:09,31.43,60.57,0,90,0,0,6,10
00:48:11,31.44,60.54,0,90,0,0,6,10
00:49:16,31.43,60.56,0,90,0,0,8,10
00:50:17,31.43,60.5,0,90,0,0,6,10
00:51:19,31.43,60.53,0,90,0,0,6,10
00:52:22,31.43,60.6,0,90,0,0,6,10
00:53:26,31.43,60.56,0,90,0,0,7,10
00:54:28,31.42,60.6,0,90,0,0,6,10
00:55:30,31.43,60.55,0,90,0,0,7,10
00:56:34,31.42,60.59,0,90,0,0,6,10
00:57:35,31.42,60.64,0,90,0,0,6,10
00:58:38,31.43,60.58,0,90,0,0,8,10
00:59:41,31.43,60.59,0,90,0,0,6,10
01:00:44,31.42,60.58,0,90,0,0,6,10
01:01:47,31.42,60.56,0,90,0,0,6,10
01:02:50,31.42,60.54,0,90,0,0,6,10
01:03:52,31.42,60.58,0,90,0,0,6,10
01:04:57,31.42,60.56,0,90,0,0,7,10
01:05:58,31.42,60.54,0,90,0,0,7,10
01:06:59,31.42,60.56,0,90,0,0,6,10
01:08:04,31.42,60.54,0,90,0,0,6,10
01:09:05,31.42,60.54,0,90,0,0,8,10
01:10:08,31.41,60.54,0,90,0,0,7,10
01:11:11,31.41,60.53,0,90,0,0,6,10
01:12:13,31.41,60.55,0,90,0,0,7,10
01:13:16,31.42,60.54,0,90,0,0,6,10
01:14:19,31.41,60.55,0,90,0,0,6,10
01:15:21,31.4,60.56,0,90,0,0,6,10
01:16:24,31.4,60.53,0,90,0,0,6,10
01:17:27,31.4,60.54,0,90,0,0,6,10
01:18:29,31.4,60.55,0,90,0,0,6,10
01:19:32,31.4,60.53,0,90,0,0,7,10
