Time,Temperature,Humidity,Speed,Direction,Rain,Sunlight,PM2.5,PM10
00:00:42,30.17,85.44,0,90,0.20000000298023224,1,7,10
00:01:45,30.17,85.27,0.800000011920929,0,0.20000000298023224,1,7,10
00:02:49,30.15,85.28,0,135,0.20000000298023224,1,6,10
00:03:52,30.17,85.26,0,135,0.20000000298023224,1,6,10
00:04:56,30.18,85.23,0.600000023841858,90,0.20000000298023224,1,7,10
00:06:00,30.17,85.28,0,180,0.20000000298023224,1,5,10
00:07:02,30.16,85.29,0.10000000149011612,0,0.20000000298023224,1,5,10
00:08:05,30.13,85.4,0,0,0.20000000298023224,1,6,10
00:09:08,30.11,85.72,0,90,0.20000000298023224,1,7,10
00:10:13,30.1,85.77,0,135,0.20000000298023224,1,6,10
00:11:15,30.1,85.82,0,0,0.20000000298023224,1,5,10
00:12:17,30.09,86.38,0,135,0.20000000298023224,1,5,10
00:13:21,30.09,86.14,0,135,0.20000000298023224,1,5,10
00:14:25,30.09,86.24,0,135,0.20000000298023224,1,5,10
00:15:29,30.09,86.2,0,135,0.20000000298023224,1,6,10
00:16:30,30.07,86.19,0,225,0.20000000298023224,1,5,10
00:17:34,30.06,86.73,0.20000000298023224,135,0.20000000298023224,1,6,10
00:18:36,30.05,86.65,0,135,0.20000000298023224,1,5,10
00:19:40,30.03,86.63,0.300000011920929,270,0.20000000298023224,1,6,10
00:20:43,30.02,86.59,0.600000023841858,45,0.20000000298023224,1,5,10
00:21:46,29.99,86.69,0.20000000298023224,180,0.20000000298023224,1,6,10
00:22:50,29.97,87.12,0.300000011920929,135,0.20000000298023224,1,7,10
00:23:53,29.97,87.08,0.600000023841858,315,0.20000000298023224,1,6,10
00:24:57,29.95,87.12,0.300000011920929,180,0.20000000298023224,1,6,10
00:26:00,29.94,87.29,0.600000023841858,0,0.20000000298023224,1,6,10
00:27:03,29.91,87.38,0.20000000298023224,0,0.20000000298023224,1,6,10
00:28:06,29.89,87.72,0,135,0.20000000298023224,1,6,10
00:29:10,29.89,87.88,0,90,0.20000000298023224,1,7,10
00:30:13,29.88,87.87,0,135,0.20000000298023224,1,7,10
00:31:17,29.87,87.87,0,135,0.20000000298023224,1,6,10
00:32:20,29.87,88.26,0,180,0.20000000298023224,1,7,10
